group;ref;qty;description;package;dimensions;manufacturer;part;distributor;distributor_part;unit_eur;note
Conversion;U10;1;24-bit Δ-Σ converter, 4 simultaneous channels;TSSOP-20;6.5 × 4.4 × 1.2;Texas Instruments;ADS131M04IPWR;Mouser;595-ADS131M04IPWR;9.80;The heart of the measurement
Conversion;U11;1;Voltage reference 2.5 V, 2 ppm/°C;SOIC-8;4.9 × 3.9 × 1.75;Analog Devices;ADR4525BRZ;Mouser;584-ADR4525BRZ;6.40;Sets the absolute scale
Conversion;Y1;1;TCXO oscillator 12.288 MHz ±1 ppm;3225;3.2 × 2.5 × 1.2;Abracon;ASTX-H11-12.288MHZ;Mouser;815-ASTXH1112.288;4.50;The single time base
Conversion;C25;1;Capacitor 10 µF X7R 25 V;1206;3.2 × 1.6 × 0.95;Murata;GRM31CR71E106KA12;Mouser;81-GRM31CR71E106KA2;0.38;Filtering the reference
Isolation;T1;1;Isolation transformer 1:1.3, 3 kV;SMD;voir notice;Würth;750315371;Mouser;710-750315371;6.90;Crosses the barrier
Isolation;U20;1;Push-pull transformer driver, 1 A;SOIC-8;4.9 × 3.9 × 1.75;Texas Instruments;SN6505BDBVR;Mouser;595-SN6505BDBVR;2.30;Can be locked to SYNC
Isolation;U24;1;Digital SPI isolator, 6 channels, 17 Mb/s;SOIC-20;12.8 × 7.5 × 2.65;Analog Devices;ADuM4151BRIZ;Mouser;584-ADUM4151BRIZ;9.40;SPI barrier
Isolation;U25;1;Bidirectional I²C isolator;SOIC-8;4.9 × 3.9 × 1.75;Analog Devices;ADuM1251ARZ;Mouser;584-ADUM1251ARZ;4.20;Environmental sensors
Isolation;D10, D11;2;Dual Schottky diode 30 V 200 mA;SOT-23;2.9 × 1.3 × 1.1;Nexperia;BAT54S;Mouser;771-BAT54S;0.14;Full-wave rectification
Power;U21;1;Ultra-low-noise linear regulator +5 V, 0.8 µV rms;MSOP-12;3.0 × 4.0 × 1.1;Analog Devices;LT3045EMSE;Mouser;584-LT3045EMSE;5.60;Positive analog rail
Power;U22;1;Negative linear regulator −5 V, 0.8 µV rms;MSOP-12;3.0 × 4.0 × 1.1;Analog Devices;LT3094EMSE;Mouser;584-LT3094EMSE;5.90;Negative analog rail
Power;U23;1;Low-noise 3.3 V regulator, 300 mA;SOT-23-5;2.9 × 1.6 × 1.1;Texas Instruments;TPS7A2033PDBVR;Mouser;595-TPS7A2033PDBVR;1.20;Digital rail
Power;FB1;1;Ferrite bead 600 Ω at 100 MHz, 2 A;0805;2.0 × 1.25 × 0.85;Murata;BLM21PG600SN1D;Mouser;81-BLM21PG600SN1D;0.15;Filtering the USB input
Power;C30-C34;5;Capacitor 22 µF X5R 10 V;0805;2.0 × 1.25 × 0.85;Murata;GRM21BR61A226ME51;Mouser;81-GRM21BR61A226ME1;0.32;Reservoirs
Power;C40-C55;16;Capacitor 100 nF X7R 50 V;0402;1.0 × 0.5 × 0.5;Murata;GRM155R71H104KE14;Mouser;81-GRM155R71H104KE4;0.04;Decoupling
Digital;U30;1;Dual-core Cortex-M33 microcontroller, 150 MHz;QFN-80;10.0 × 10.0 × 0.9;Raspberry Pi;RP2350B;Mouser;358-SC1632;1.60;Two cores, twelve PIO state machines
Digital;U31;1;QSPI flash memory, 128 Mbit;SOIC-8;4.9 × 3.9 × 1.75;Winbond;W25Q128JVSIQ;Mouser;454-W25Q128JVSIQ;1.10;Firmware and settings
Digital;Y2;1;Crystal 12 MHz ±20 ppm;3225;3.2 × 2.5 × 1.2;Abracon;ABM8-12.000MHZ-B2-T;Mouser;815-ABM812.000MB2T;0.45;The microcontroller's clock
Digital;J20;1;USB-C socket, 16 pins, surface mount;SMD;voir notice;GCT;USB4085-GF-A;Mouser;640-USB4085-GF-A;1.30;Power and data
Digital;U33;1;4-channel ESD protection network, 0.5 pF;SOT-23-6;2.9 × 1.6 × 1.1;Texas Instruments;TPD4S014DBVR;Mouser;595-TPD4S014DBVR;0.85;±15 kV in air
Digital;R30, R31;2;Resistor 5.1 kΩ 1 %;0402;1.0 × 0.5 × 0.5;Yageo;RC0402FR-075K1L;Mouser;603-RC0402FR-075K1L;0.02;USB-C declaration
Digital;R34, R35;2;Resistor 33 Ω 1 %;0402;1.0 × 0.5 × 0.5;Yageo;RC0402FR-0733RL;Mouser;603-RC0402FR-0733RL;0.02;MIDI output
Digital;J21;1;3.5 mm stereo jack socket (MIDI TRS type A);through-hole;per part;CUI;SJ1-3535NG;Mouser;490-SJ1-3535NG;1.05;Drives a hardware synthesizer directly
Digital;DS1;1;Serially addressed RGB LED;PLCC-4;3.5 × 3.5 × 1.9;Worldsemi;WS2812B-Mini;Mouser;—;0.28;Status and level
Digital;S1;1;Tactile button 6 × 6 mm;through-hole;per part;Alps;SKHHAKA010;Mouser;688-SKHHAKA010;0.22;Marking and auto-configuration
Environment;U40;1;Temperature, humidity, pressure and VOC sensor;LGA-8;3.0 × 3.0 × 0.9;Bosch;BME688;Mouser;262-BME688;9.50;Optional but recommended
Environment;U41;1;Digital ambient-light sensor;DFN-6;2.0 × 2.0 × 0.75;ams;TSL2591;Mouser;—;5.20;Correlation with photosynthesis
Environment;RT1;1;PT1000 platinum probe, class A;2 fils;—;Heraeus;32208551;Mouser;—;3.40;Substrate temperature
Calibration;RC1-RC3;3;Reference resistors 1 MΩ / 10 MΩ / 100 MΩ 0.1 %;1206;3.2 × 1.6 × 0.95;Vishay;VHP series;Mouser;—;7.20;Self-test, price for all three
Calibration;U50;1;4-channel self-test switch;TSSOP-14;5.0 × 4.4 × 1.2;Texas Instruments;TMUX1104PWR;Mouser;595-TMUX1104PWR;1.40;Injecting the references
Printed circuit board;PCB;1;4-layer PCB 100 × 60 mm, ENIG, mask keep-out;—;—;JLCPCB;—;JLCPCB;—;12.00;Unit price in quantity five
Power protection;J30;1;2.1 mm DC power socket, through-hole, with switched contact;through-hole;per part;CUI;PJ-002AH;Mouser;490-PJ-002AH;1.15;The switched contact signals that the mains adapter is present
Power protection;D30;1;Unidirectional TVS diode 18 V, 400 W;DO-214AC;5.0 × 2.6 × 2.2;Littelfuse;SMAJ18A;Mouser;576-SMAJ18A;0.32;Clamps surges from the adapter, and discharges
Power protection;Q30;1;P-channel MOSFET, 30 V 6 A, 35 mΩ — reverse protection;SOT-23;2.9 × 1.3 × 1.1;Diodes Inc;DMP3099L-7;Mouser;621-DMP3099L-7;0.42;A reversed polarity destroys nothing any more: it simply blocks
Power protection;U60;1;Buck converter 4–30 V to 5.2 V, 2 A, protected;SOT-23-6;2.9 × 1.6 × 1.1;Texas Instruments;TPS62932DRLR;Mouser;595-TPS62932DRLR;1.35;Accepts 7 to 24 V: any mains adapter will do
Power protection;U61;1;Adjustable current-limiting switch, 75 mA–1.5 A;SOT-23-6;2.9 × 1.6 × 1.1;Texas Instruments;TPS2553DBVR;Mouser;595-TPS2553DBVR;1.28;Limits the current drawn from USB to 500 mA, opens and flags
Power protection;U62;1;Automatic priority power selector, 2 A;SOT-23-6;2.9 × 1.6 × 1.1;Texas Instruments;TPS2116DRLR;Mouser;595-TPS2116DRLR;1.42;Switches without a break between adapter and USB, adapter first
Power protection;F30, F31;2;Resettable fuse 0.5 A, 16 V;1812;4.5 × 3.2 × 2.5;Bourns;MF-MSMF050-2;Mouser;652-MF-MSMF050-2;0.38;"Resets itself after a short circuit; no part to replace"
Power protection;U63;1;Bus current and voltage monitor, I²C, 12 bits;SOT-23-8;2.9 × 1.6 × 1.1;Texas Instruments;INA219AIDCNR;Mouser;595-INA219AIDCNR;2.10;Feeds the display: voltage, current, power drawn
Power protection;R60, R61;2;Sense resistor 0.1 Ω 1 % 1 W;1206;3.2 × 1.6 × 0.95;Vishay;WSL1206R1000FEA;Mouser;71-WSL1206R1000FEA;0.58;Shunt for measuring the current drawn
Input protection;F1, F2;2;Resettable fuse 50 mA, 60 V — electrode protection;1206;3.2 × 1.6 × 0.95;Bourns;MF-PSMF050X-2;Mouser;652-MF-PSMF050X-2;0.42;Connecting to a live source no longer destroys the input
Input protection;D3, D4;2;Very-low-capacitance ESD protection network, 0.5 pF;SOT-23;2.9 × 1.3 × 1.1;Nexperia;PESD5V0X1BT;Mouser;771-PESD5V0X1BT;0.16;±20 kV in air, without loading the electrometer input
Input protection;D5;1;Bidirectional TVS diode 6.5 V on the reference electrode;SOT-23;2.9 × 1.3 × 1.1;Nexperia;PESD3V3S2UT;Mouser;771-PESD3V3S2UT;0.18;Bounds the re-injected voltage whatever happens
Indicators;DS2;1;Bi-colour green/amber LED 3 mm — power source;through-hole;per part;Kingbright;WP3VEGW;Mouser;604-WP3VEGW;0.45;Green: mains adapter. Amber: powered from USB
Indicators;DS3;1;Blue LED 3 mm — USB link enumerated;through-hole;per part;Kingbright;L-934MBC;Mouser;604-L-934MBC;0.28;Steady: enumerated. Blinking: measurement stream active
Indicators;DS4;1;Red LED 3 mm — fault;through-hole;per part;Kingbright;L-934SRC-J4;Mouser;604-L-934SRC-J4;0.22;Overcurrent, persistent saturation, failed self-test
Indicators;DS5;1;OLED display 128 × 64, 0.96 inch, I²C;module;27 × 27 × 4;Univers.;"SSD1306 0,96"" I²C";general retail;—;4.20;Source, gain, range, measured voltage, current drawn, faults
Indicators;R70-R73;4;LED current-limiting resistor 1 kΩ 1 %;0805;2.0 × 1.25 × 0.85;Yageo;RC0805FR-071KL;Mouser;603-RC0805FR-071KL;0.02;LED current limited to 2 mA: readable without dazzling
Shielding and EMC;SH1;1;Tinned shielding can 35 × 25 × 3 mm, solder-on;metal can;—;Würth;36503250;Mouser;710-36503250;1.80;Covers the input stage: this is what makes the board immune
Shielding and EMC;SH2;1;Tinned shielding can 25 × 25 × 3 mm, solder-on;metal can;—;Würth;36502550;Mouser;710-36502550;1.60;Covers the buck converter and its inductor
Shielding and EMC;FB10-FB15;6;Common-mode ferrite 90 Ω at 100 MHz on the outgoing lines;0805;2.0 × 1.25 × 0.85;Murata;BLM21PG221SN1D;Mouser;81-BLM21PG221SN1D;0.14;Stops conducted emissions from leaving by the cables
Shielding and EMC;C60-C65;6;Feed-through capacitor 1 nF, 50 V, X7R;0402;1.0 × 0.5 × 0.5;Murata;GRM155R71H102KA01;Mouser;81-GRM155R71H102KA1;0.03;High-frequency decoupling where the panels are crossed
